site_no,station_name,latitude,longitude,huc,site_type
385460076574801,WE Ca  36,38.91663889,-76.9631944,2070010.0,GW
385500076563401,WE Cb 7,38.91652778,-76.94277778,2070010.0,GW-TH
385504076563801,WE Bb   3,38.91766667,-76.9438056,2070010.0,GW
385504076563802,WE Bb   4,38.91766667,-76.9438056,2070010.0,GW
385511077062501,Potomac R Bed Sediment WP014,38.9197222,-77.1069444,2070010.0,ST
385513077062001,Potomac R Bed Sediment WP013,38.92027778,-77.1055556,2070010.0,ST
385516077062401,Potomac R Bed Sediment WP015,38.9211111,-77.1066667,2070010.0,ST
385519077012601,WW Bc   8,38.92202778,-77.02413889,2070010.0,GW
385519077063201,Potomac R Bed Sediment WP016,38.92194444,-77.10888889,2070010.0,ST
385527077000701,WW Bc   9,38.92438889,-77.00213889,2070010.0,GW
385527077063701,Potomac R Bed Sediment WP017,38.92416667,-77.11027778,2070010.0,ST
385534076582101,WE Ba  10,38.9262222,-76.9726111,2070010.0,GW
385535076561101,PG Cc 33,38.9261111,-76.93638889,2070010.0,GW
385542076560701,PG Cc   3,38.9284447,-76.93497419,2070010.0,GW
385542077142501,53V  2D,38.92844426,-77.23998149,2070008.0,GW
385542077142502,53V  3D,38.92844426,-77.23998149,2070008.0,GW
385604077053801,WW Ba  46,38.934444,-77.093889,20700081005.0,GW
385605077053501,WW Ba  42,38.93491667,-77.09252778,2070008.0,GW
385605077053502,WW Ba  43,38.93491667,-77.09252778,2070008.0,GW
385605077053503,WW Ba  44,38.93491667,-77.09252778,2070008.0,GW
385605077053901,SV-MP-02 35 to 44 ft,38.93469444,-77.0940556,2070008.0,GW-MW
385605077053902,SV-MP-02 49 to 54 ft,38.93469444,-77.0940556,2070008.0,GW-MW
385605077053903,SV-MP-02 56 to 71 ft,38.93469444,-77.0940556,2070008.0,GW-MW
385605077053904,SV-MP-02 73 to 77 ft,38.93469444,-77.0940556,2070008.0,GW-MW
385605077053905,SV-MP-02 96 to 102 ft,38.93469444,-77.0940556,2070008.0,GW-MW
385605077053906,SV-MP-02 105 to 114 ft,38.93469444,-77.0940556,2070008.0,GW-MW
385605077053907,SV-MP-02 123 to 129 ft,38.93469444,-77.0940556,2070008.0,GW-MW
385605077053908,SV-MP-02 145 to 160 ft,38.93469444,-77.0940556,2070008.0,GW-MW
385606076584101,WE Ba   9,38.935139,-76.978167,20700100204.0,GW
385606077053301,WW Ba  40,38.93488889,-77.0926667,2070008.0,GW
385606077053302,WW Ba  41,38.93488889,-77.0926667,2070008.0,GW
385606077053901,WW Ba  45,38.93491667,-77.09413889,2070008.0,GW
385609077055301,WW Ba 39,38.9358333,-77.0980556,2070010.0,GW
385610077064501,"Dalecarlia Reservoirs, Basin 1",38.93619444,-77.1125,2070010.0,FA-WU
385610077064602,"Dalecarlia Reservoirs, Basin 2",38.9360833,-77.1129167,2070010.0,FA-WU
385612077064903,"Dalecarlia Reservoirs, Basin 3",38.93680556,-77.1136111,2070010.0,FA-WU
385612077065104,"Dalecarlia Reservoirs, Basin 4, near Washington DC",38.93663889,-77.1141667,2070010.0,LK
385615077063501,WW Ba 31,38.93745278,-77.10992778,2070010.0,GW
385619077020701,WW Bc  10,38.938694,-77.035361,20700100102.0,GW
385619077063601,Spring 1 at Dalecarlia Reservoir,38.9386111,-77.11,2070010.0,SP
385620077062201,SW-7,38.93888889,-77.1061111,2070008.0,ST
385626077062701,WW Ba 23,38.9408333,-77.1074167,2070010.0,GW-CR
385627077064101,WW Ba 32,38.94080556,-77.11127778,2070010.0,GW
385629077062701,WW Ba 21,38.94127778,-77.10752778,2070010.0,GW
385629077063001,WW Ba 20,38.94130556,-77.1084167,2070010.0,GW-CR
385629077065601,MO Ff 37,38.94138889,-77.1155556,2070010.0,GW
385630077061901,WW Ba 22,38.94163889,-77.1053056,2070010.0,GW
385630077062501,WW Ba 24,38.93980556,-77.107,2070010.0,GW-CR
