site_no,datetime,parameter_code,parameter_name,value,unit,qualifier,statistic_id
01646500,2023-06-03 12:00:00+00:00,00060,Discharge,2570,ft3/s,A,
01646500,2023-06-03 12:15:00+00:00,00060,Discharge,2520,ft3/s,A,
01646500,2023-06-03 12:30:00+00:00,00060,Discharge,2520,ft3/s,A,
01646500,2023-06-03 12:45:00+00:00,00060,Discharge,2520,ft3/s,A,
01646500,2023-06-03 13:00:00+00:00,00060,Discharge,2520,ft3/s,A,
01646500,2023-06-03 13:15:00+00:00,00060,Discharge,2520,ft3/s,A,
01646500,2023-06-03 13:30:00+00:00,00060,Discharge,2520,ft3/s,A,
01646500,2023-06-03 13:45:00+00:00,00060,Discharge,2520,ft3/s,A,
01646500,2023-06-03 14:00:00+00:00,00060,Discharge,2520,ft3/s,A,
01646500,2023-06-03 14:15:00+00:00,00060,Discharge,2520,ft3/s,A,
01646500,2023-06-03 14:30:00+00:00,00060,Discharge,2520,ft3/s,A,
01646500,2023-06-03 14:45:00+00:00,00060,Discharge,2520,ft3/s,A,
01646500,2023-06-03 15:00:00+00:00,00060,Discharge,2520,ft3/s,A,
01646500,2023-06-03 15:15:00+00:00,00060,Discharge,2520,ft3/s,A,
01646500,2023-06-03 15:30:00+00:00,00060,Discharge,2520,ft3/s,A,
01646500,2023-06-03 15:45:00+00:00,00060,Discharge,2520,ft3/s,A,
01646500,2023-06-03 16:00:00+00:00,00060,Discharge,2470,ft3/s,A,
01646500,2023-06-03 16:15:00+00:00,00060,Discharge,2470,ft3/s,A,
01646500,2023-06-03 16:30:00+00:00,00060,Discharge,2470,ft3/s,A,
01646500,2023-06-03 16:45:00+00:00,00060,Discharge,2520,ft3/s,A,
01646500,2023-06-03 17:00:00+00:00,00060,Discharge,2470,ft3/s,A,
01646500,2023-06-03 17:15:00+00:00,00060,Discharge,2470,ft3/s,A,
01646500,2023-06-03 17:30:00+00:00,00060,Discharge,2470,ft3/s,A,
01646500,2023-06-03 17:45:00+00:00,00060,Discharge,2470,ft3/s,A,
01646500,2023-06-03 18:00:00+00:00,00060,Discharge,2470,ft3/s,A,
01646500,2023-06-03 18:15:00+00:00,00060,Discharge,2470,ft3/s,A,
01646500,2023-06-03 18:30:00+00:00,00060,Discharge,2470,ft3/s,A,
01646500,2023-06-03 18:45:00+00:00,00060,Discharge,2470,ft3/s,A,
01646500,2023-06-03 19:00:00+00:00,00060,Discharge,2470,ft3/s,A,
01646500,2023-06-03 19:15:00+00:00,00060,Discharge,2470,ft3/s,A,
01646500,2023-06-03 19:30:00+00:00,00060,Discharge,2470,ft3/s,A,
01646500,2023-06-03 19:45:00+00:00,00060,Discharge,2470,ft3/s,A,
01646500,2023-06-03 20:00:00+00:00,00060,Discharge,2470,ft3/s,A,
01646500,2023-06-03 20:15:00+00:00,00060,Discharge,2470,ft3/s,A,
01646500,2023-06-03 20:30:00+00:00,00060,Discharge,2470,ft3/s,A,
01646500,2023-06-03 20:45:00+00:00,00060,Discharge,2470,ft3/s,A,
01646500,2023-06-03 21:00:00+00:00,00060,Discharge,2470,ft3/s,A,
01646500,2023-06-03 21:15:00+00:00,00060,Discharge,2520,ft3/s,A,
01646500,2023-06-03 21:30:00+00:00,00060,Discharge,2520,ft3/s,A,
01646500,2023-06-03 21:45:00+00:00,00060,Discharge,2520,ft3/s,A,
01646500,2023-06-03 22:00:00+00:00,00060,Discharge,2520,ft3/s,A,
01646500,2023-06-03 22:15:00+00:00,00060,Discharge,2470,ft3/s,A,
01646500,2023-06-03 22:30:00+00:00,00060,Discharge,2520,ft3/s,A,
01646500,2023-06-03 22:45:00+00:00,00060,Discharge,2520,ft3/s,A,
01646500,2023-06-03 23:00:00+00:00,00060,Discharge,2470,ft3/s,A,
01646500,2023-06-03 23:15:00+00:00,00060,Discharge,2470,ft3/s,A,
01646500,2023-06-03 23:30:00+00:00,00060,Discharge,2470,ft3/s,A,
01646500,2023-06-03 23:45:00+00:00,00060,Discharge,2470,ft3/s,A,
01646500,2023-06-04 00:00:00+00:00,00060,Discharge,2420,ft3/s,A,
01646500,2023-06-04 00:15:00+00:00,00060,Discharge,2470,ft3/s,A,
01646500,2023-06-04 00:30:00+00:00,00060,Discharge,2520,ft3/s,A,
01646500,2023-06-04 00:45:00+00:00,00060,Discharge,2470,ft3/s,A,
01646500,2023-06-04 01:00:00+00:00,00060,Discharge,2470,ft3/s,A,
01646500,2023-06-04 01:15:00+00:00,00060,Discharge,2470,ft3/s,A,
01646500,2023-06-04 01:30:00+00:00,00060,Discharge,2470,ft3/s,A,
01646500,2023-06-04 01:45:00+00:00,00060,Discharge,2470,ft3/s,A,
01646500,2023-06-04 02:00:00+00:00,00060,Discharge,2420,ft3/s,A,
01646500,2023-06-04 02:15:00+00:00,00060,Discharge,2420,ft3/s,A,
01646500,2023-06-04 02:30:00+00:00,00060,Discharge,2420,ft3/s,A,
01646500,2023-06-04 02:45:00+00:00,00060,Discharge,2470,ft3/s,A,
01646500,2023-06-04 03:00:00+00:00,00060,Discharge,2470,ft3/s,A,
01646500,2023-06-04 03:15:00+00:00,00060,Discharge,2420,ft3/s,A,
01646500,2023-06-04 03:30:00+00:00,00060,Discharge,2420,ft3/s,A,
01646500,2023-06-04 03:45:00+00:00,00060,Discharge,2420,ft3/s,A,
